full_name,first_name,last_name,url_suffix,candor_url,recruiter_location
Kristen Castellanos,Kristen,Castellanos,kristen-castellanos,https://candor.co/recruiter/kristen-castellanos,
Tania Castillo,Tania,Castillo,tania-castillo,https://candor.co/recruiter/tania-castillo,
Courtney Chacon,Courtney,Chacon,courtney-chacon,https://candor.co/recruiter/courtney-chacon,
Joshua Chaisson,Joshua,Chaisson,joshua-chaisson,https://candor.co/recruiter/joshua-chaisson,
Ashley Chan,Ashley,Chan,ashley-chan,https://candor.co/recruiter/ashley-chan,
Esther Chance,Esther,Chance,esther-chance,https://candor.co/recruiter/esther-chance,
Michelle Chen,Michelle,Chen,michelle-chen,https://candor.co/recruiter/michelle-chen,
Lily Chen,Lily,Chen,lily-chen,https://candor.co/recruiter/lily-chen,
Judy Cheong,Judy,Cheong,judy-cheong,https://candor.co/recruiter/judy-cheong,
Jess Cherner,Jess,Cherner,jess-cherner,https://candor.co/recruiter/jess-cherner,
Jamie Cherry,Jamie,Cherry,jamie-cherry,https://candor.co/recruiter/jamie-cherry,
Jennifer Cho,Jennifer,Cho,jennifer-cho,https://candor.co/recruiter/jennifer-cho,
Kelli Cleary,Kelli,Cleary,kelli-cleary,https://candor.co/recruiter/kelli-cleary,
Stacy Cohen,Stacy,Cohen,stacy-cohen,https://candor.co/recruiter/stacy-cohen,
Alfred Cohen,Alfred,Cohen,alfred-cohen,https://candor.co/recruiter/alfred-cohen,
Rian Colleen,Rian,Colleen,rian-colleen,https://candor.co/recruiter/rian-colleen,
Kevin Combs,Kevin,Combs,kevin-combs,https://candor.co/recruiter/kevin-combs,
Catherine Connors,Catherine,Connors,catherine-connors,https://candor.co/recruiter/catherine-connors,
Freddy Cooper,Freddy,Cooper,freddy-cooper,https://candor.co/recruiter/freddy-cooper,
Chrissy Cope,Chrissy,Cope,chrissy-cope,https://candor.co/recruiter/chrissy-cope,
Lauren Corcoran,Lauren,Corcoran,lauren-corcoran,https://candor.co/recruiter/lauren-corcoran,
Charlotte Coupe,Charlotte,Coupe,charlotte-coupe,https://candor.co/recruiter/charlotte-coupe,
Brandon Cristiano,Brandon,Cristiano,brandon-cristiano,https://candor.co/recruiter/brandon-cristiano,
Brandon Cristiano,Brandon,Cristiano,brandon-cristiano,https://candor.co/recruiter/brandon-cristiano,
Andrea Cruz,Andrea,Cruz,andrea-cruz,https://candor.co/recruiter/andrea-cruz,
Kristen Dallara,Kristen,Dallara,kristen-dallara,https://candor.co/recruiter/kristen-dallara,
Tuhina Das,Tuhina,Das,tuhina-das,https://candor.co/recruiter/tuhina-das,
Jason Daugherty,Jason,Daugherty,jason-daugherty,https://candor.co/recruiter/jason-daugherty,
Kristen Dauler,Kristen,Dauler,kristen-dauler,https://candor.co/recruiter/kristen-dauler,
Brittany Daunno,Brittany,Daunno,brittany-daunno,https://candor.co/recruiter/brittany-daunno,
Kiana Davari,Kiana,Davari,kiana-davari,https://candor.co/recruiter/kiana-davari,
Victoria Day,Victoria,Day,victoria-day,https://candor.co/recruiter/victoria-day,
Stephanie Demi,Stephanie,Demi,stephanie-demi,https://candor.co/recruiter/stephanie-demi,
Gloria Demro,Gloria,Demro,gloria-demro,https://candor.co/recruiter/gloria-demro,
Greg Detwiler,Greg,Detwiler,greg-detwiler,https://candor.co/recruiter/greg-detwiler,
Brittani Devine,Brittani,Devine,brittani-devine,https://candor.co/recruiter/brittani-devine,
Siobhan Devoy,Siobhan,Devoy,siobhan-devoy,https://candor.co/recruiter/siobhan-devoy,
Salima Dhamani,Salima,Dhamani,salima-dhamani,https://candor.co/recruiter/salima-dhamani,
Madison Dimarco,Madison,Dimarco,madison-dimarco,https://candor.co/recruiter/madison-dimarco,
Hope Diwata,Hope,Diwata,hope-diwata,https://candor.co/recruiter/hope-diwata,
Ally Dobson,Ally,Dobson,ally-dobson,https://candor.co/recruiter/ally-dobson,
Saoirse Downey,Saoirse,Downey,saoirse-downey,https://candor.co/recruiter/saoirse-downey,
Shadae Downey,Shadae,Downey,shadae-downey,https://candor.co/recruiter/shadae-downey,
Marcus Dubois,Marcus,Dubois,marcus-dubois,https://candor.co/recruiter/marcus-dubois,
Matthew Dugan,Matthew,Dugan,matthew-dugan,https://candor.co/recruiter/matthew-dugan,
Natalie Dunnege,Natalie,Dunnege,natalie-dunnege,https://candor.co/recruiter/natalie-dunnege,
Erica Ebinger,Erica,Ebinger,erica-ebinger,https://candor.co/recruiter/erica-ebinger,
Kirill Elistratov,Kirill,Elistratov,kirill-elistratov,https://candor.co/recruiter/kirill-elistratov,
Matthew Ellis,Matthew,Ellis,matthew-ellis,https://candor.co/recruiter/matthew-ellis,
Jamie Engelmann,Jamie,Engelmann,jamie-engelmann,https://candor.co/recruiter/jamie-engelmann,
Annette Erdozaincy,Annette,Erdozaincy,annette-erdozaincy,https://candor.co/recruiter/annette-erdozaincy,
Jessie Erickson,Jessie,Erickson,jessie-erickson,https://candor.co/recruiter/jessie-erickson,
Jennelle Estrada,Jennelle,Estrada,jennelle-estrada,https://candor.co/recruiter/jennelle-estrada,
Charlie Farrell,Charlie,Farrell,charlie-farrell,https://candor.co/recruiter/charlie-farrell,
Luke Fay,Luke,Fay,luke-fay,https://candor.co/recruiter/luke-fay,
Anjuli Felix,Anjuli,Felix,anjuli-felix,https://candor.co/recruiter/anjuli-felix,
Tiffany Fenster,Tiffany,Fenster,tiffany-fenster,https://candor.co/recruiter/tiffany-fenster,
Andrea Fernandez,Andrea,Fernandez,andrea-fernandez,https://candor.co/recruiter/andrea-fernandez,
Sandy Fernandez,Sandy,Fernandez,sandy-fernandez,https://candor.co/recruiter/sandy-fernandez,
Alex Flatbush,Alex,Flatbush,alex-flatbush,https://candor.co/recruiter/alex-flatbush,
Christina Flemings,Christina,Flemings,christina-flemings,https://candor.co/recruiter/christina-flemings,
Brittney Fong,Brittney,Fong,brittney-fong,https://candor.co/recruiter/brittney-fong,
Alyssa Foo,Alyssa,Foo,alyssa-foo,https://candor.co/recruiter/alyssa-foo,
Summer Ford,Summer,Ford,summer-ford,https://candor.co/recruiter/summer-ford,
Garrett Fowler,Garrett,Fowler,garrett-fowler,https://candor.co/recruiter/garrett-fowler,
Dan Fraguglia,Dan,Fraguglia,dan-fraguglia,https://candor.co/recruiter/dan-fraguglia,
Monica Franceschi,Monica,Franceschi,monica-franceschi,https://candor.co/recruiter/monica-franceschi,
Emily Franklin,Emily,Franklin,emily-franklin,https://candor.co/recruiter/emily-franklin,
Jordan Freitas,Jordan,Freitas,jordan-freitas,https://candor.co/recruiter/jordan-freitas,
Alexa Friedman,Alexa,Friedman,alexa-friedman,https://candor.co/recruiter/alexa-friedman,
Cara Fromherz,Cara,Fromherz,cara-fromherz,https://candor.co/recruiter/cara-fromherz,
Nicholas Fryer,Nicholas,Fryer,nicholas-fryer,https://candor.co/recruiter/nicholas-fryer,
Zoe Fuentes,Zoe,Fuentes,zoe-fuentes,https://candor.co/recruiter/zoe-fuentes,
Derek Fung,Derek,Fung,derek-fung,https://candor.co/recruiter/derek-fung,
Carina G.,Carina,G,carina-g,https://candor.co/recruiter/carina-g,
Christina Galarneau,Christina,Galarneau,christina-galarneau,https://candor.co/recruiter/christina-galarneau,
Michael Gallagher,Michael,Gallagher,michael-gallagher,https://candor.co/recruiter/michael-gallagher,
Monica Garcia,Monica,Garcia,monica-garcia,https://candor.co/recruiter/monica-garcia,
Stefanie Gardella,Stefanie,Gardella,stefanie-gardella,https://candor.co/recruiter/stefanie-gardella,
Gabrielle Gaubert,Gabrielle,Gaubert,gabrielle-gaubert,https://candor.co/recruiter/gabrielle-gaubert,
Sjoerd Gehring,Sjoerd,Gehring,sjoerd-gehring,https://candor.co/recruiter/sjoerd-gehring,
Amy Geisler,Amy,Geisler,amy-geisler,https://candor.co/recruiter/amy-geisler,
Paul Gerber,Paul,Gerber,paul-gerber,https://candor.co/recruiter/paul-gerber,
Amanda Ghidossi,Amanda,Ghidossi,amanda-ghidossi,https://candor.co/recruiter/amanda-ghidossi,
Amanda Gillespie,Amanda,Gillespie,amanda-gillespie,https://candor.co/recruiter/amanda-gillespie,
Javier Gonzalez,Javier,Gonzalez,javier-gonzalez,https://candor.co/recruiter/javier-gonzalez,
Sarah Goose,Sarah,Goose,sarah-goose,https://candor.co/recruiter/sarah-goose,
Ilan Graubart,Ilan,Graubart,ilan-graubart,https://candor.co/recruiter/ilan-graubart,
Jono Grayson,Jono,Grayson,jono-grayson,https://candor.co/recruiter/jono-grayson,
